metric,m,n,d,noise,family,effect,trials,rejections,rate,wilson_lower,wilson_upper
mmd_squared,8,2,384,0.15,gaussian_mixture,0.5,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,8,2,384,0.15,gaussian_mixture,0.5,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,8,2,384,0.15,gaussian_mixture,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,8,2,384,0.15,gaussian_mixture,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,8,4,256,0.02,gaussian_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,8,4,256,0.02,gaussian_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
mmd_squared,8,4,256,0.02,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,8,4,256,0.02,ring_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,8,4,256,0.02,separated,0.5,100,56,0.56,0.4622810465167699,0.6532797336983921
energy_statistic,8,4,256,0.02,separated,0.5,100,56,0.56,0.4622810465167699,0.6532797336983921
mmd_squared,8,4,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,8,4,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,8,4,256,0.02,ring_disk,0.5,100,2,0.02,0.00550196755016235,0.07001179072854388
energy_statistic,8,4,256,0.02,ring_disk,0.5,100,2,0.02,0.00550196755016235,0.07001179072854388
mmd_squared,8,4,256,0.02,ring_disk,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,8,4,256,0.02,ring_disk,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,8,4,256,0.02,gaussian_mixture,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
energy_statistic,8,4,256,0.02,gaussian_mixture,0.5,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,8,4,256,0.02,gaussian_mixture,1.0,100,29,0.29,0.2101483574912227,0.3853889117557111
energy_statistic,8,4,256,0.02,gaussian_mixture,1.0,100,17,0.17,0.10893566114059931,0.25548004767601123
mmd_squared,8,4,256,0.15,gaussian_null,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,8,4,256,0.15,gaussian_null,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,8,4,256,0.15,ring_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,8,4,256,0.15,ring_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
mmd_squared,8,4,256,0.15,separated,0.5,100,58,0.58,0.4820648670304296,0.6720161732564526
energy_statistic,8,4,256,0.15,separated,0.5,100,58,0.58,0.4820648670304296,0.6720161732564526
mmd_squared,8,4,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,8,4,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,8,4,256,0.15,ring_disk,0.5,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,8,4,256,0.15,ring_disk,0.5,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,8,4,256,0.15,ring_disk,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,8,4,256,0.15,ring_disk,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
mmd_squared,8,4,256,0.15,gaussian_mixture,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,8,4,256,0.15,gaussian_mixture,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,8,4,256,0.15,gaussian_mixture,1.0,100,11,0.11,0.06254196357064568,0.18631296503080313
energy_statistic,8,4,256,0.15,gaussian_mixture,1.0,100,11,0.11,0.06254196357064568,0.18631296503080313
mmd_squared,8,4,384,0.02,gaussian_null,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,8,4,384,0.02,gaussian_null,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
mmd_squared,8,4,384,0.02,ring_null,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
energy_statistic,8,4,384,0.02,ring_null,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,8,4,384,0.02,separated,0.5,100,64,0.64,0.5423540245160874,0.7272877959859567
energy_statistic,8,4,384,0.02,separated,0.5,100,59,0.59,0.4920143005341078,0.6813268697886348
mmd_squared,8,4,384,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,8,4,384,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,8,4,384,0.02,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,8,4,384,0.02,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,8,4,384,0.02,ring_disk,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
energy_statistic,8,4,384,0.02,ring_disk,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,8,4,384,0.02,gaussian_mixture,0.5,100,10,0.1,0.0552291370606751,0.17436566150491345
energy_statistic,8,4,384,0.02,gaussian_mixture,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,8,4,384,0.02,gaussian_mixture,1.0,100,24,0.24,0.16691325556948772,0.33232336349814473
energy_statistic,8,4,384,0.02,gaussian_mixture,1.0,100,13,0.13,0.07757167427240512,0.20980351440076428
mmd_squared,8,4,384,0.15,gaussian_null,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
